agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
sarasota-county-area-transit,Sarasota County Area Transit,F,22.6,2026-07-06,stale,-1676,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
lakeland-area-mass-transit,Lakeland Area Mass Transit,F,24.0,2026-07-06,stale,-2102,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
collier-area-transit-cat,Collier Area Transit (CAT),F,30.1,2026-07-06,stale,-2013,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
breeze-transit,Breeze Transit,F,31.7,2026-07-06,stale,-437,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
pinellas-suncoast-transit-authority-psta,Pinellas Suncoast Transit Authority (PSTA),F,34.2,2026-07-06,lapsed,-30,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
manatee-county-area-transit,Manatee County Area Transit,F,39.0,2026-07-06,stale,-2037,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
votran,Votran,F,39.2,2026-07-06,stale,-1633,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gainesville-regional-transit-system,Gainesville Regional Transit System,F,40.9,2026-07-06,stale,-1415,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
sunshine-bus-company,Sunshine Bus Company,F,41.2,2026-07-06,stale,-1283,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
sunshine-bus-company-350,Sunshine Bus Company,F,41.2,2026-07-06,stale,-1283,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
key-west-transit,Key West Transit,F,44.7,2026-07-06,stale,-539,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
