agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
kalamazoo-metro-transit-2070,Kalamazoo Metro Transit,F,31.4,2026-07-03,stale,-670,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
kalamazoo-metro-transit,Kalamazoo Metro Transit,F,31.8,2026-07-03,stale,-1154,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
bay-area-transportation-authority,Bay Area Transportation Authority,F,44.6,2026-07-03,stale,-1637,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
bay-area-transportation-authority-223,Bay Area Transportation Authority,F,44.6,2026-07-03,stale,-1637,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
mass-transportation-authority-flint,Mass Transportation Authority Flint,F,45.6,2026-07-03,stale,-2376,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
university-of-michigan-transit-services,University of Michigan Transit Services,F,48.6,2026-07-03,stale,-1525,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
qline-detroit,Qline Detroit,F,50.4,2026-07-03,lapsed,-184,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
qline-detroit-802,Qline Detroit,F,50.4,2026-07-03,lapsed,-184,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
indian-trails-detroit-ann-arbor-express,"Indian Trails, Detroit Ann Arbor Express",F,56.1,2026-07-03,stale,-549,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
indian-trails-detroit-ann-arbor-express-384,"Indian Trails, Detroit Ann Arbor Express",F,56.1,2026-07-03,stale,-549,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
michigan-flyer,Michigan Flyer,F,57.3,2026-07-03,stale,-490,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
michigan-flyer-413,Michigan Flyer,F,57.3,2026-07-03,stale,-490,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
capital-area-transportation-authority-cata,Capital Area Transportation Authority (CATA),D,66.6,2026-07-03,current,51,yes,Service data expires in 51 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
the-rapid,The Rapid,C,71.6,2026-07-03,current,58,yes,Service data expires in 58 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
ann-arbor-area-transportation-authority-theride,Ann Arbor Area Transportation Authority (TheRide),C,72.6,2026-07-03,current,50,yes,Service data expires in 50 day(s),"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead."
detroit-department-of-transportation-ddot,Detroit Department of Transportation (DDOT),C,73.5,2026-07-03,current,79,yes,Score changed sharply on 2026-07-01,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
university-of-michigan-transit-services-2072,University of Michigan Transit Services,C,74.8,2026-07-03,current,50,yes,Service data expires in 50 day(s),"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
detroit-people-mover-2281,Detroit People Mover,B,82.6,2026-07-03,current,181,yes,Service window shortened unexpectedly on 2026-06-26,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
detroit-people-mover,Detroit People Mover,F,26.2,2026-07-02,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.
bay-area-transportation-authority-2254,Bay Area Transportation Authority,F,56.8,2026-07-03,current,26844,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
mass-transportation-authority-flint-2287,Mass Transportation Authority Flint,C,75.2,2026-07-03,current,546,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
suburban-mobility-authority-for-regional-transit-smart,Suburban Mobility Authority for Regional Transit (SMART),B,85.2,2026-07-03,current,65,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
