agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
memphis-area-transit-authority,Memphis Area Transit Authority,F,27.4,2026-07-03,stale,-1910,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
chattanooga-area-regional-transportation-authority-carta-2082,Chattanooga Area Regional Transportation Authority (CARTA),F,32.6,2026-07-03,stale,-685,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
chattanooga-area-regional-transportation-authority-carta,Chattanooga Area Regional Transportation Authority (CARTA),F,33.8,2026-07-03,stale,-1518,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
memphis-area-transit-authority-2352,Memphis Area Transit Authority,F,40.3,2026-07-03,stale,-480,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
muletown-trolley,Muletown Trolley,F,55.5,2026-07-03,lapsed,-190,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
jackson-transit-authority,Jackson Transit Authority,F,59.5,2026-07-03,lapsed,-94,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
county-connection-cccta-2421,County Connection (CCCTA),D,65.0,2026-07-03,current,36,yes,Service window shortened unexpectedly on 2026-06-25,Add feed_info.txt with feed_start_date and feed_end_date to your export.
franklin-transit-authority,Franklin Transit Authority,C,74.6,2026-07-03,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.
franklin-transit-authority-361,Franklin Transit Authority,C,74.6,2026-07-03,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.
knoxville-area-transit-kat,Knoxville Area Transit (KAT),F,56.8,2026-07-03,current,26844,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
nashville-mta-wego-public-transit,Nashville MTA WeGo Public Transit,D,67.8,2026-07-03,current,183,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
