agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
stagecoach-transportation-services-sts,Stagecoach Transportation Services (STS),F,21.4,2026-07-04,stale,-2376,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
stagecoach-transportation-services-sts-449,Stagecoach Transportation Services (STS),F,21.4,2026-07-04,stale,-2376,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
addison-county-transit-actr,Addison County Transit (ACTR),F,37.8,2026-07-04,stale,-2376,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
addison-county-transit-actr-543,Addison County Transit (ACTR),F,37.8,2026-07-04,stale,-2376,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
moover,MOOver,F,39.5,2026-07-04,stale,-1683,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
moover-434,MOOver,F,39.5,2026-07-04,stale,-1683,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
the-current,The Current,F,39.5,2026-07-04,stale,-1683,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
the-current-428,The Current,F,39.5,2026-07-04,stale,-1683,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
marble-valley-regional-transit-district-mvrtd-2831,Flex,D,62.4,2026-07-04,current,58,yes,Service data expires in 58 day(s),Review the rule documentation for 'invalid_pickup_drop_off_window' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
vermont-translines,Vermont Translines,C,70.7,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
vermont-translines-450,Vermont Translines,C,70.7,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
marble-valley-regional-transit-district-mvrtd,Marble Valley Regional Transit District (MVRTD),C,73.8,2026-07-04,current,58,yes,Service data expires in 58 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
marble-valley-regional-transit-district-mvrtd-430,Marble Valley Regional Transit District (MVRTD),C,73.8,2026-07-04,current,58,yes,Service data expires in 58 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
chittenden-county-transportation-authority-ccta,Chittenden County Transportation Authority (CCTA),B,81.2,2026-07-04,current,89,yes,Score changed sharply on 2026-06-23,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
vtrans,Springfield MicroMoo,D,62.8,2026-07-04,current,89,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
advance-transit,Advance Transit,C,74.3,2026-07-04,current,150,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
advance-transit-631,Advance Transit,C,74.3,2026-07-04,current,150,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
lake-champlain-ferries,Lake Champlain Ferries,C,76.7,2026-07-04,current,145,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
lake-champlain-ferries-547,Lake Champlain Ferries,C,76.7,2026-07-04,current,145,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
green-mountain-community-network-gmcn,Green Mountain Community Network (GMCN),C,78.0,2026-07-04,current,212,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
green-mountain-community-network-gmcn-539,Green Mountain Community Network (GMCN),C,78.0,2026-07-04,current,212,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
tri-valley-transit,Tri-Valley Transit,C,78.9,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
tri-valley-transit-852,Tri-Valley Transit,C,78.9,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
rockingham-moover,Rockingham MOOver,B,80.6,2026-07-04,current,174,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
chittenden-county-transportation-authority-ccta-629,Chittenden County Transportation Authority (CCTA),B,81.2,2026-07-04,current,89,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
rural-community-transportation-rct-2882,Rural Community Transportation (RCT),B,81.2,2026-07-04,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
rural-community-transportation-rct-448,Rural Community Transportation (RCT),B,81.3,2026-07-04,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
rural-community-transportation-rct,Rural Community Transportation (RCT),B,83.1,2026-07-04,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
