agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
microsoft-shuttles,Microsoft Shuttles,F,18.9,2026-07-04,stale,-2011,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
seattle-children-s-hospital-shuttle,Seattle Children's Hospital Shuttle,F,37.9,2026-07-04,stale,-733,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
coast-transportation,COAST Transportation,F,38.5,2026-07-04,lapsed,-154,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
washington-state-ferries-1331,Washington State Ferries,F,39.8,2026-07-04,expiring_soon,22,yes,Service data expires in 22 day(s),Re-export with a validity window that reaches at least 60 days out.
lummi-transit,Lummi Transit,F,42.6,2026-07-04,lapsed,-52,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
nisqually-transit,Nisqually Transit,F,45.2,2026-07-04,stale,-550,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
metro-transit-intercity-transit-city-of-seattle-community-transit-pierce-transit-sound-transit-washington-state-ferries-seattlecentermonorail-everett-transit-seattle-children-s-hospital,Puget Sound Consolidated GTFS,F,46.9,2026-07-04,current,55,yes,Service data expires in 55 day(s),Review the rule documentation for 'block_trips_with_overlapping_stop_times' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
lower-columbia-cap-community-action-program,Lower Columbia CAP (Community Action Program),F,48.1,2026-07-04,lapsed,-359,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
lower-columbia-cap-community-action-program-568,Lower Columbia CAP (Community Action Program),F,48.1,2026-07-04,lapsed,-359,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
wahkiakum-ferry,Wahkiakum Ferry,F,48.5,2026-07-04,stale,-976,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
wahkiakum-ferry-604,Wahkiakum Ferry,F,48.5,2026-07-04,stale,-976,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
homage-d-arling-direct,Homage: DʼArling Direct,F,48.8,2026-07-04,stale,-369,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
washington-state-ferries,Washington State Ferries,F,53.6,2026-07-04,expiring_soon,29,yes,Service data expires in 29 day(s),Re-export with a validity window that reaches at least 60 days out.
makah-public-transit,Makah Public Transit,F,53.7,2026-07-04,stale,-825,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
makah-public-transit-574,Makah Public Transit,F,53.7,2026-07-04,stale,-825,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
puget-sound-express,Puget Sound Express,F,53.7,2026-07-04,stale,-2471,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
puget-sound-express-281,Puget Sound Express,F,53.7,2026-07-04,stale,-2471,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
squaxin-island-transit,Squaxin Island Transit,F,53.8,2026-07-04,stale,-977,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
squaxin-island-transit-846,Squaxin Island Transit,F,53.8,2026-07-04,stale,-977,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
l-e-w-i-s-mountain-highway-transit,L.E.W.I.S. Mountain Highway Transit,F,54.4,2026-07-04,stale,-1129,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
l-e-w-i-s-mountain-highway-transit-567,L.E.W.I.S. Mountain Highway Transit,F,54.4,2026-07-04,stale,-1129,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
jamestown-s-klallam,Jamestown S'klallam,F,55.5,2026-07-04,stale,-2102,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
jamestown-s-klallam-285,Jamestown S'klallam,F,55.5,2026-07-04,stale,-2102,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
ben-franklin-transit,Ben Franklin Transit,F,55.9,2026-07-04,stale,-825,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
kalispel-tribal-transit-kaltran,Kalispel Tribal Transit (KalTran),F,56.4,2026-07-04,stale,-763,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
the-victoria-clipper,The Victoria Clipper,F,58.1,2026-07-04,stale,-3048,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
catholic-community-services,Catholic Community Services,F,59.5,2026-07-04,expiring_soon,28,yes,Grade slipped from D to F,Re-export with a validity window that reaches at least 60 days out.
catholic-community-services-2159,Catholic Community Services,F,59.5,2026-07-04,expiring_soon,28,yes,Grade slipped from D to F,Re-export with a validity window that reaches at least 60 days out.
catholic-community-services-2160,Catholic Community Services,F,59.5,2026-07-04,expiring_soon,28,yes,Grade slipped from D to F,Re-export with a validity window that reaches at least 60 days out.
hopelink-transportation,Hopelink Transportation,D,62.2,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
selah-transit,Selah Transit,D,62.4,2026-07-04,lapsed,-94,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
lummi-island-ferry,Lummi Island Ferry,D,68.0,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
mason-transit-authority,Mason Transit Authority,D,68.3,2026-07-04,expiring_soon,28,yes,Service data expires in 28 day(s),Re-export with a validity window that reaches at least 60 days out.
city-of-ellensburg-public-transit-central-transit,City of Ellensburg Public Transit (Central Transit),D,69.7,2026-07-04,stale,-460,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
city-of-ellensburg-public-transit-central-transit-303,City of Ellensburg Public Transit (Central Transit),D,69.7,2026-07-04,stale,-460,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
ruraltransit,ruralTRANSIT,C,78.5,2026-07-04,current,58,yes,Service data expires in 58 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
ruraltransit-822,ruralTRANSIT,C,78.5,2026-07-04,current,58,yes,Service data expires in 58 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
king-county-metro,King County Metro,B,80.9,2026-07-04,current,55,yes,Service data expires in 55 day(s),Review the rule documentation for 'trip_distance_exceeds_shape_distance_below_threshold' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
intercity-transit,Intercity Transit,B,81.0,2026-07-04,current,56,yes,Service data expires in 56 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
pierce-transit,Pierce Transit,B,81.7,2026-07-04,current,56,yes,Service data expires in 56 day(s),Review the rule documentation for 'missing_required_agency_id' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
community-transit-ct,Community Transit (CT),B,83.0,2026-07-04,current,55,yes,Service data expires in 55 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
sound-transit,Sound Transit,B,85.0,2026-07-04,current,55,yes,Service data expires in 55 day(s),"Remove retired stops from the export, or add them back to the trips that should serve them."
sound-transit-metro-transit-city-of-seattle-king-county-metro,"Sound Transit, Metro Transit, City of Seattle - King County Metro",A,91.3,2026-07-04,current,55,yes,Service data expires in 55 day(s),Review the rule documentation for 'route_short_name_too_long' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
yakima-transit,Yakima Transit,F,28.4,2026-07-04,current,3467,no,,Review the rule documentation for 'stop_time_with_arrival_before_previous_departure_time' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.
lady-of-the-lake,Lady of the Lake,D,67.9,2026-07-04,current,65,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
washington-state-department-of-transportation-wsdot-apple-line,Washington State Department of Transportation (WSDOT Apple Line),C,70.1,2026-07-04,current,180,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
kitsap-transit,Kitsap Transit,C,71.5,2026-07-04,current,70,no,,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.
everett-transit,Everett Transit,C,72.5,2026-07-04,current,63,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
columbia-county-public-transportation,Columbia County Public Transportation,C,73.1,2026-07-04,current,331,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
eastside-friends-of-seniors,Eastside Friends of Seniors,C,73.8,2026-07-04,current,150,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
community-in-motion,Community in Motion,C,74.5,2026-07-04,current,150,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
sound-generations-hyde-shuttle,do not use - deprecfated,C,74.6,2026-07-04,current,120,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
guemes-island-ferry,Guemes Island Ferry,C,74.7,2026-07-04,current,319,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
island-transit,Island Transit,C,74.7,2026-07-04,current,89,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
elwha-transit,Elwha Transit,C,75.5,2026-07-04,current,212,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
intercity-transit-2289,Intercity Transit,C,75.5,2026-07-04,current,301,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
paratransit-services,Paratransit Services,C,75.5,2026-07-04,current,150,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
puget-sound-educational-service-district,Puget Sound Educational Service District,C,75.5,2026-07-04,current,301,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
link-transit,Link Transit,C,76.0,2026-07-04,current,184,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.
clallam-transit-system,Clallam Transit System,C,78.2,2026-07-04,current,322,no,,Re-generate shape distances in your export; flag to your vendor if it persists.
clallam-transit-system-279,Clallam Transit System,C,78.2,2026-07-04,current,322,no,,Re-generate shape distances in your export; flag to your vendor if it persists.
everett-transit-3038,Everett Transit,C,78.2,2026-07-04,current,63,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default)."
